2022-11-30 23:01:31.995 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:01:32.152 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:02:21.272 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:02:21.291 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:02:26.821 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:02:26.887 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:02:50.501 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:02:50.515 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:02:53.954 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:02:54.020 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:05:00.822 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:05:00.837 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:05:04.274 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:05:04.347 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:05:30.126 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:05:30.141 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:07:11.308 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:07:11.396 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:07:23.060 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:07:23.075 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:07:28.993 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:07:29.079 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:09:16.509 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:09:16.529 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:09:35.954 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:09:35.968 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:09:48.267 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:09:48.282 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:09:52.396 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:09:52.558 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:13:27.781 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:13:27.798 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:13:32.182 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:13:32.260 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:14:39.553 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:14:39.569 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:15:06.490 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:15:06.586 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:15:08.866 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:15:08.882 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:15:19.311 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:15:19.394 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:15:33.960 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:15:33.977 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:15:39.852 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:15:40.018 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:16:43.653 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:16:43.676 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:16:53.786 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:16:53.877 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:17:00.941 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:17:00.953 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:17:06.866 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:17:06.878 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:17:47.744 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:17:47.766 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:17:54.880 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:17:55.054 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:18:57.656 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:18:57.678 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:19:03.891 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:19:04.070 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:21:09.385 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:21:09.408 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:22:01.596 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:22:01.722 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:23:05.391 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:23:05.424 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:23:13.472 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:23:13.574 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:25:53.095 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:25:53.120 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:26:07.746 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:26:07.836 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:26:41.957 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:26:41.980 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:26:51.037 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:26:51.164 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 23:27:03.768 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 23:27:03.794 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 23:27:15.833 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 23:27:15.947 [info] Added views:workbench.debug.welcome in workbench.view.debug
